,org_name,legal_name,org_type,tags,inn
0,Softline,АО СофтЛайн Трейд,"integrator, mssp","idm_iam, sgrc",7736227885
1,Softline,ООО СОФТЛАЙН ИНТЕРНЕТ ТРЕЙД,"integrator, mssp",,7736542069
2,Kaspersky,АО ЛАБОРАТОРИЯ КАСПЕРСКОГО,vendor,"ips_ids_nta_ndr, vpn, mdm, epp, edr, dpi, ddos, swg, iot, cloud_security, email_security, critical_infra_security, digital_forensics, irp_soar, threat_intelligence, threat_hunting, security_awareness, sandbox, os, mobile_security, atm_security, ics_security, ddos_security, anti_apt",7713140469
3,Kaspersky,ООО ГРУППА КОМПАНИЙ КАСПЕРСКОГО,vendor,"ips_ids_nta_ndr, vpn, mdm, epp, edr, dpi, ddos, swg, iot, cloud_security, email_security, critical_infra_security, digital_forensics, irp_soar, threat_intelligence, threat_hunting, security_awareness, sandbox, os, mobile_security, atm_security, ics_security, ddos_security, anti_apt",7713603558
4,Kaspersky,ООО НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ АДАПТИВНЫЕ ПРОМЫШЛЕННЫЕ ТЕХНОЛОГИИ,vendor,"ips_ids_nta_ndr, vpn, mdm, epp, edr, dpi, ddos, swg, iot, cloud_security, email_security, critical_infra_security, digital_forensics, irp_soar, threat_intelligence, threat_hunting, security_awareness, sandbox, os, mobile_security, atm_security, ics_security, ddos_security, anti_apt",7724443440
5,Kaspersky,ООО Модель защиты,vendor,"ips_ids_nta_ndr, vpn, mdm, epp, edr, dpi, ddos, swg, iot, cloud_security, email_security, critical_infra_security, digital_forensics, irp_soar, threat_intelligence, threat_hunting, security_awareness, sandbox, os, mobile_security, atm_security, ics_security, ddos_security, anti_apt",7743292170
6,Инфосистемы Джет,АО ИНФОСИСТЕМЫ ДЖЕТ,"integrator, mssp",,7729058675
7,Rubytech,ООО РУБИТЕХ,integrator,,7702404085
8,Rubytech,ООО РУБИТЕХ ИНТЕГРАЦИЯ,integrator,,9717097810
9,СКБ Контур,АО ПФ СКБ Контур,vendor,digital_signature,6663003127
10,НЦИ,ООО НЦИ,vendor,"idm_iam, sgrc",7703810139
11,ICL,ОАО КПО ВС,"mssp, integrator",,1660014361
12,ICL,ООО ДжиДиСи Сервисез,"mssp, integrator",,1660146230
13,ICL,ООО НПО ВС,"mssp, integrator",,1660093042
14,ICL,ООО АйСиЭл Техно,"mssp, integrator",,1624014670
15,ICL,ООО АйСиЭл СТ,"mssp, integrator",,1615012203
16,ICL,ООО АйСиЭл Софт,"mssp, integrator",,1624016042
17,ICL,ООО АйСиЭл РС,"mssp, integrator",,1655287540
18,ICL,ООО АйСиЭл Сервисез,"mssp, integrator",,7728897484
19,ICL,ООО АйСиЭл СВ,"mssp, integrator",,2543145299
20,BI.ZONE,ООО БИЗОН,"mssp, vendor","threat_intelligence, antifraud, sd_wan, digital_forensics, critical_infra_security, waf, security_awareness, sgrc, pentest, firewall_utm_ngfw, cloud_security",9701036178
21,Газинформ сервис,ООО Газинформсервис,"integrator, vendor","idm_iam, siem, vulnerability_management, pam, unauthorised_access, crypto, digital_signature, physical_security, database_security, tech_compliance",7838017968
22,АМТ групп,АО АМТ-ГРУП,"mssp, integrator",,7703025499
23,Русбиттех,АО НПО РусБИТех,vendor,"idm_iam, os, unauthorized_access, backup, virtualization_security",7726604816
24,Русбиттех,ООО РУСБИТЕХ-АСТРА,vendor,"idm_iam, os, unauthorized_access, backup, virtualization_security",7726388700
25,Positive Technologies,АО Группа Позитив,vendor,"siem, asset_management, vulnerability_management, application_security, threat_intelligence, ics_security, sandbox, ips_ids_nta_ndr, pentest",9718077239
26,Positive Technologies,АО Позитив Текнолоджиз,vendor,"siem, asset_management, vulnerability_management, application_security, threat_intelligence, ics_security, sandbox, ips_ids_nta_ndr, pentest",7718668887
27,Positive Technologies,АО Позитивные Технологии,vendor,"siem, asset_management, vulnerability_management, application_security, threat_intelligence, ics_security, sandbox, ips_ids_nta_ndr, pentest",7718880121
28,Eltex,ООО Предприятие ЭЛТЕКС,vendor,"firewall_utm_ngfw, ips_ids_nta_ndr, vpn",5410108110
29,Infotecs,АО ИнфоТеКС,vendor,"ips_ids_nta_ndr, unauthorized_access, vpn, firewall_utm_ngfw, crypto",7710013769
30,РТЛабс,АО РТ Лабс,vendor,biometric_auth,5047053920
31,Информзащита,АО НИП ИНФОРМЗАЩИТА,integrator,,7702148410
32,Код безопасности,ООО Код Безопасности,vendor,"vpn, unauthorized_access, ips_ids_nta_ndr, firewall_utm_ngfw, virtualization_security",7715719244
33,УЦСБ,ООО УЦСБ,"integrator, mssp, vendor",pentest,6672235068
34,Ростелеком Solar,ООО СОЛАР СЕКЬЮРИТИ,vendor,"ics_security, idm_iam, firewall_utm_ngfw, epp, dpi, swg, critical_infra_security, digital_forensics, ueba, security_awareness, threat_hunting, vulnerability_management, idm_iam, biometric_auth, sdlc",7718099790
35,Sbercloud,ООО Облачные технологии,vendor,"waf, database_security, container_security",7736279160
36,ЦРТ,ООО ЦРТ,vendor,biometric_auth,7805093681
37,ЦРТ,ООО ЦРТ-инновации,vendor,biometric_auth,7839438486
38,Angara,ООО АТ ГРУП,integrator,,7730016670
39,Фактор-ТС,ООО Фактор-ТС,vendor,"vpn, firewall_utm_ngfw, digital_signature, ips_ids_nta_ndr, crypto",7716032944
40,Крипто Про,ООО Крипто-ПРО,vendor,"digital_signature, pki, vpn, crypto, idm_iam",7717107991
41,АтласКарт,АО АТЛАС-КАРТ,vendor,"crypto, pki",7714313724
42,Финтех,АО ФИНТЕХ,vendor,"biometric_auth, os, physical_security",7733022819
43,Открытая мобильная платформа,ООО ОТКРЫТАЯ МОБИЛЬНАЯ ПЛАТФОРМА,vendor,os,1615012605
44,ИВК,АО Информационная внедренческая компания,vendor,"vpn, firewall_utm_ngfw, ips_ids_nta_ndr, os",7702157005
45,NeuroDAT SIEM,ООО Центр безопасности информации,vendor,siem,5054004240
46,@страл безопасность,АО Калуга Астрал,"integrator, mssp","critical_infra_security, pentest",4029017981
47,Элвис-плюс,АО ЭЛВИС-ПЛЮС,"vendor, integrator","crypto, firewall_utm_ngfw, ips_ids_nta_ndr, vpn, os",7735003794
48,Acronis,ООО АКРОНИС,vendor,"dlp, backup, email_security",7715532020
49,InfoWatch,АО ИнфоВотч,vendor,"ics_security, dlp, firewall_utm_ngfw , database_security, ueba",7713515534
50,С-Терра,ООО С-Терра СиЭсПи,vendor,"firewall_utm_ngfw, vpn",7735607443
51,Cross technologies,АО КРОСС ТЕХНОЛОДЖИС,integrator,,7707756806
52,SWEMEL,ЗАО МВП Свемел,"vendor, integrator","os, physical_security",7709009454
53,SWEMEL,ОАО Протон+Сервис,"vendor, integrator","os, physical_security",7722014421
54,SWEMEL,ОАО Синклит,"vendor, integrator","os, physical_security",7709359561
55,Актив,АО Актив-cофт,"vendor, integrator","digital_signature, auth_devices",7729361030
56,DrWeb,ООО Доктор Веб,vendor,"epp, swg, email_security, mobile_security, atm_security",7714533600
57,СёрчИнформ,ООО Серчинформ,vendor,"dlp, siem",7704306397
58,Информзащита Сервис,ООО ИНФОРМЗАЩИТА-СЕРВИС,mssp,,7713401671
59,Digital design,ЗАО ДИДЖИТАЛ ДИЗАЙН,integrator,"idm_iam, critical_infra_security, ics_security, mobile_security",7803009412
60,Митигатор. БИФИТ,АО БИФИТ,vendor,ddos,7719617469
61,VisionLabs,ООО Вижнлабс,vendor,biometric_auth,7701954054
62,Национальный инновационный центр,АО НИЦ,"vendor, integrator","siem, pam, mdm, ips_ids_nta_ndr, firewall_utm_ngfw",7704599880
63,Амикон,ООО АМИКОН,vendor,"firewall_utm_ngfw, ips_ids_nta_ndr, vpn",7701025060
64,Group-IB,ООО ГРУППА АЙБИ,vendor,"ips_ids_nta_ndr, threat_intelligence, digital_forensics, antifraud, pentest",7723790843
65,Group-IB,ООО ГРУППА АЙБИ ТДС,vendor,"ips_ids_nta_ndr, threat_intelligence, digital_forensics, antifraud, pentest",7723413429
66,Group-IB,ООО ГРУППА АЙБИ СЕЙЛЗ,vendor,"ips_ids_nta_ndr, threat_intelligence, digital_forensics, antifraud, pentest",7723450420
67,Group-IB,ООО ГРУППА АЙБИ СЕРВИС,vendor,"ips_ids_nta_ndr, threat_intelligence, digital_forensics, antifraud, pentest",7723413411
68,Конфидент,ООО Конфидент,vendor,"firewall_utm_ngfw, vpn, ips_ids_nta_ndr, unautorized_access, asset_management",7811072513
69,Конфидент,ООО КОНФИДЕНТ СК,vendor,"firewall_utm_ngfw, vpn, ips_ids_nta_ndr, unautorized_access, asset_management",7811754107
70,Инфолэнд,ООО Инфолэнд,"vendor, integrator",virtualization_security,7701629463
71,Концерн ВНИИНС,АО ВНИИНС,vendor,"os, ips_ids_nta_ndr, unauthorised_security, pki, crypto, firewall_utm_ngfw",7727062154
72,Концерн ВНИИНС,АО КОНЦЕРН ВНИИНС ,vendor,"os, ips_ids_nta_ndr, unauthorised_security, pki, crypto, firewall_utm_ngfw",7727133398
73,Концерт Гранит,АО Концерн ГРАНИТ,vendor,"crypto, physical_security",5003056699
74,ЦПС,АО НИИ ЦПС,"vendor, integrator","unauthorized_access, ips_ids_nta_ndr, security_awareness",6904008332
75,Компания РНТ,АО РНТ,vendor,"unauthorized_access, physical_security",7720010693
76,ID point,АО Инфотекс Интернет Траст,vendor,digital_signature,7743020560
77,Гарда,ООО Гарда Технологии,vendor,"ips_ids_nta_ndr, database_security, ddos, dlp, ips_ids_nta_ndr, dag, irp_soar,",5260443081
78,R-Vision,ООО Р-ВИЖН,vendor,"irp_soar, asset_management, sgrc, threat_intelligence, deception, critical_infra_security, vulnerability_management, siem",7723390901
79,Business Guardian,ООО ИТЕРАНЕТ,vendor,dlp,7704199755
80,ЭОС,ООО ЭОС ПВ,vendor,digital_signature,7704210053
81,ЭОС,ООО ЭОС СОФТ,vendor,digital_signature,7709651527
82,СКДПУ НТ,ООО АйТи БАСТИОН,vendor,"pam, firewall_utm_ngfw",7717789462
83,СКДПУ НТ,ООО АЙТИ БАСТИОН СЕРВИС,vendor,"pam, firewall_utm_ngfw",9717067598
84,Ngenix,ООО ССТ,vendor,"ddos, waf, dns_security",7733546298
85,UserGate,ООО Юзергейт,vendor,"firewall_utm_ngfw, ips_ids_nta_ndr",5408308256
86,Qrator Labs,ООО Эйч-Эль-Эль,vendor,"ddos, waf",7704773923
87,basealt,ООО Базальт СПО,vendor,os,7714350892
88,Тионикс,ООО ТИОНИКС,vendor,virtualization_security,7731316059
89,Эшелон,АО НПО Эшелон,vendor,"siem, application_security, asset_management, vulnerability_management, firewall_utm_ngfw",7718676447
90,Киберпротект (Кибер DLP Защита),ООО Киберпротект,vendor,dlp,9715274292
91,ЦБИ Сервис,АО ЦБИ-сервис,"integrator, vendor","asset_management, crypto, physical_security",5054009168
92,Необит,ООО Необит,vendor,"sdlc, sandbox, firewall_utm_ngfw, crypto",7804360292
